code,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122015.SH,09长电债,1942.08(20180930),1648.08(20180630),1814.35(20180331),1714.35(20170930),1664.35(20170630),1649.35(20170331),1573(20160331),1553(20151231),1398(20150930),1520(20150331),1520(20141231),1260(20140930),1260(20140331),1260(20131231),1260(20130930),1260(20130630),1240(20130331),1210(20120930),1225(20120331),973.6(20110930),973.6(20110331),928.6(20091231),928.6(20090930),853.4(20090331),530(20071231),400(20051227),,,,,,,,,,,,,,,,,
122138.SH,11桂东01,71.11(20171231),63.12(20161231),51.31(20151231),51.07(20150930),20(20120331),2(20111231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122143.SH,12亿利01,42.75(20180331),75.42(20150930),97.3(20140630),58.9448(20120930),54.32(20111231),42.2787(20110930),42.28(20100930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122145.SH,11桂东02,71.11(20171231),63.12(20161231),51.31(20151231),51.07(20150930),20(20120331),2(20111231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122147.SH,12华新02,148.85(20171231),140.16(20161231),122.8411(20160331),126.64(20151231),166.8131(20150630),160.32(20150331),146.45(20141231),146.5936(20140930),170.17(20131231),177.85(20130331),173.55(20121231),175.02(20120930),161.98(20120630),163.69(20111231),154.49(20110630),127.5778(20100630),101.1424(20091231),73.8898(20081231),48.71(20061231),,,,,,,,,,,,,,,,,,,,,,,,
122150.SH,12石化02,3618.52(20171231),2563.75(20161231),3346.41(20160630),2979.97(20151231),2993.19(20150630),3025.7(20141231),2991.23(20140630),2891.06(20131231),1977(20121231),1705(20111231),1705(20110930),1675(20100930),1595(20091231),1804(20090930),1850(20090331),1850(20080930),1635(20071017),1000(20051019),,,,,,,,,,,,,,,,,,,,,,,,,
122152.SH,12国电02,588.78(20180930),564.23(20180630),2863.1(20180331),3018(20171231),4059(20161231),3714.12(20160930),3900.49(20160711),3900.49(20151231),763.66(20150630),3900.49(20141231),3771.57(20140630),4051.13(20140331),3729(20130331),1839.5(20120331),1839.5(20111231),109.49(20061231),510(20060630),,,,,,,,,,,,,,,,,,,,,,,,,,
122157.SH,12广控01,480.36(20180331),379.22(20170331),529.88(20160331),426.59(20150930),357.73(20131231),268.77(20120630),257.82(20120331),249.2(20110930),283.52(20110331),237.4(20100930),237.4(20091231),190(20081231),130(20071231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122158.SH,12西钢债,96.96(20171231),96.96(20161231),103.37(20151231),99.95(20141231),67.6(20131231),66.12(20120331),67.77(20101231),63.555(20100630),56.3775(20090930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122159.SH,12亿利02,42.75(20180331),75.42(20150930),97.3(20140630),58.9448(20120930),54.32(20111231),42.2787(20110930),42.28(20100930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122168.SH,12兖煤02,980.08(20180630),992.83(20180331),1133.77(20171231),960.32(20170930),872.73(20170331),872.73(20161231),842.04(20160930),875.79(20160630),1054.27(20160331),987.29(20150930),1109.64(20150331),1109.64(20141231),1204.36(20140930),818.26(20131231),1109.42(20130930),1091.02(20130630),1020(20111231),,,,,,,,,,,,,,,,,,,,,,,,,,
122172.SH,12中海02,240(20161231),380(20151231),584(20121231),269.6(20120930),269.6(20120630),268.6(20120331),279(20110930),288(20090930),248(20090331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122174.SH,12中交02,10498(20180930),15691.8(20180331),13283.4(20160930),11765.95(20151231),9327.5(20141231),9188(20140930),7520(20121231),7520(20120930),5139(20120331),4535.18(20091231),1868.92(20081231),1340.72(20071231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122175.SH,12中交03,10498(20180930),15691.8(20180331),13283.4(20160930),11765.95(20151231),9327.5(20141231),9188(20140930),7520(20121231),7520(20120930),5139(20120331),4535.18(20091231),1868.92(20081231),1340.72(20071231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122176.SH,12中储债,63.45625(20180930),69.55(20180630),46(20180331),63.23(20171231),54.73(20161231),44.8(20151231),76.5(20141231),93.6(20131231),99.6(20121231),99.8(20120331),99.8(20111231),31.9(20060228),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122179.SH,12科环03,173(20171231),407(20120331),141.63(20111231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122181.SH,12山鹰债,136.592(20180930),136.232(20180630),131.022529(20180331),100.93(20171231),84.3725(20170930),91.6225(20170630),94.725(20170331),93.73(20161231),97.725(20160930),89.969(20160630),94.499(20160331),92.91(20150930),93.919(20150630),95.2289(20150331),97.0801(20140930),97.0801(20140630),104.92(20140331),56.77(20121231),54.3(20120930),50(20120331),36.5999(20111231),48.27(20110930),36.5999(20101231),,,,,,,,,,,,,,,,,,,,
122187.SH,12玻纤债,270.021128(20180930),250.9946(20180630),309.8(20180331),228.508969(20170930),212.73(20170331),214.464602(20160930),215.28(20151231),194.86(20141231),158.73(20121231),180.91(20120630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122188.SH,12华新03,148.85(20171231),140.16(20161231),122.8411(20160331),126.64(20151231),166.8131(20150630),160.32(20150331),146.45(20141231),146.5936(20140930),170.17(20131231),177.85(20130331),173.55(20121231),175.02(20120930),161.98(20120630),163.69(20111231),154.49(20110630),127.5778(20100630),101.1424(20091231),73.8898(20081231),48.71(20061231),,,,,,,,,,,,,,,,,,,,,,,,
122190.SH,12王府02,25(20180331),25(20171231),3(20120630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122192.SH,12桂冠02,139(20171231),74.4(20110630),157.9136(20100930),147.2136(20100331),129.8336(20090930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122193.SH,12中水01,5423.89(20171231),5571.14(20170331),4843.89(20161231),5639.42(20160930),5639.42(20160630),4610.874(20160331),4438.427595(20150331),5246.7948(20140630),2446.9293(20140331),2822.3082(20130930),2446.9293(20130331),2297.4703(20120930),2214.8064(20120630),2070.3318(20120331),2644.18(20110630),2644.18(20110331),2630.32(20100930),2326(20091231),,,,,,,,,,,,,,,,,,,,,,,,,
122194.SH,12中水02,5423.89(20171231),5571.14(20170331),4843.89(20161231),5639.42(20160930),5639.42(20160630),4610.874(20160331),4438.427595(20150331),5246.7948(20140630),2446.9293(20140331),2822.3082(20130930),2446.9293(20130331),2297.4703(20120930),2214.8064(20120630),2070.3318(20120331),2644.18(20110630),2644.18(20110331),2630.32(20100930),2326(20091231),,,,,,,,,,,,,,,,,,,,,,,,,
122195.SH,12中海03,240(20161231),380(20151231),584(20121231),269.6(20120930),269.6(20120630),268.6(20120331),279(20110930),288(20090930),248(20090331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122196.SH,12中海04,240(20161231),380(20151231),584(20121231),269.6(20120930),269.6(20120630),268.6(20120331),279(20110930),288(20090930),248(20090331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122201.SH,12开滦01,77.85(20180331),88.91(20171231),81.85(20161231),87.43(20160331),93.278712(20151231),93.86(20150331),109.1877(20141231),102.08(20140630),105.4969(20140331),81.74(20130331),128.1(20121231),120.77(20120930),132.93(20120630),119.1684(20120331),85.5785(20110331),94.2485(20100930),86.666(20090930),60.826(20090331),,,,,,,,,,,,,,,,,,,,,,,,,
122203.SH,12海螺02,858.88(20171231),591.32(20161231),859.11(20151231),760.89(20141231),599(20121231),590.647(20120630),597(20111231),537.8091(20101231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122210.SH,12中油02,1400(20180930),1620(20171231),1720(20161231),1400(20160331),1720(20151231),1400(20150930),1675(20150630),1400(20150331),1400(20141231),1400(20131231),1990(20111231),1830(20100331),1580(20090930),1580(20090630),1280(20081231),1280(20080630),,,,,,,,,,,,,,,,,,,,,,,,,,,
122211.SH,12中油03,1400(20180930),1620(20171231),1720(20161231),1400(20160331),1720(20151231),1400(20150930),1675(20150630),1400(20150331),1400(20141231),1400(20131231),1990(20111231),1830(20100331),1580(20090930),1580(20090630),1280(20081231),1280(20080630),,,,,,,,,,,,,,,,,,,,,,,,,,,
122213.SH,12松建化,22.49(20180331),31.6(20161231),31.99(20151231),33.94(20150331),32.54(20141231),21.04(20140930),24.78(20131231),30.022(20130930),30.022(20130630),37.8(20121231),57.91(20120630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122218.SH,12国航01,1715.67(20171231),1555.35(20161231),1550.66(20160331),1444.33(20151231),1398.73(20150930),1103.96(20141231),1452.68(20131231),1475(20130331),1391.52(20121231),1263(20120630),1340.24(20120331),1413(20111231),1250.71(20101231),1057(20080930),778(20051231),717(20050525),,,,,,,,,,,,,,,,,,,,,,,,,,,
122221.SH,12重工02,223(20180331),245.1(20170331),226.12(20161231),224.42(20160930),217.62(20160331),216.12(20150930),199.5(20150331),199.5(20140630),198.2(20131231),168.2(20121231),135.4(20120930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122240.SH,13中油02,1400(20180930),1620(20171231),1720(20161231),1400(20160331),1720(20151231),1400(20150930),1675(20150630),1400(20150331),1400(20141231),1400(20131231),1990(20111231),1830(20100331),1580(20090930),1580(20090630),1280(20081231),1280(20080630),,,,,,,,,,,,,,,,,,,,,,,,,,,
122241.SH,12东航01,697.87(20180930),493.9(20180630),706.35(20180331),777.94(20170930),738.66(20170630),617.87(20170331),615.8(20160930),465.56(20160630),609.7(20160331),603.9(20150930),438.7(20150331),511.71(20140930),1470.98(20130331),681.92(20120630),1151.83(20120331),588(20050531),,,,,,,,,,,,,,,,,,,,,,,,,,,
122243.SH,12广汽02,381.2(20180331),297.02(20170331),323.57(20151231),128.89(20150930),128.89(20150630),135.9(20150331),115.11(20141231),107.1(20140930),99.92(20140630),91.49(20140331),122.41(20130930),128.42(20130331),117.1(20120930),93.15(20120331),81.5774(20081231),72(20071211),,,,,,,,,,,,,,,,,,,,,,,,,,,
122244.SH,12大唐01,3978.81(20180331),3974.67(20170930),4202.31(20160331),2478.76(20140630),4251.42(20131231),4245.47(20130930),3027.01(20120630),2997.3(20111231),2894.15(20101231),381.6(20081231),1240(20080930),1240(20080331),1100(20061231),1060.05(20051231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122245.SH,13甬热电,24.18(20171231),5.1(20120930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122248.SH,13福新02,847.85(20180930),847.85(20180630),867.33(20180331),817.47(20170930),807.89(20170630),1029.56(20161231),992(20160630),759.7(20160331),692.58(20141231),576.2(20140930),496.14(20140630),496.14(20140331),605.23(20131231),466.14(20130331),476(20120930),,,,,,,,,,,,,,,,,,,,,,,,,,,,
122249.SH,13平煤债,283.4(20181107),281.4(20180930),283.4(20180630),282.4(20180331),174(20170331),181(20161231),174(20160930),174(20160331),78(20131231),86(20120930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122250.SH,13和邦01,16.51(20171231),36.11(20140630),24(20121231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122252.SH,13南车02,2093(20180331),2131(20171231),1810.4(20170331),1775.4(20161231),1250.48(20160331),1445.50205(20151231),577.2(20141231),526.2(20131231),542.4(20130331),542.4(20121231),483.84(20120930),483.84(20111231),460.84(20110630),449.64(20110331),216(20090930),,,,,,,,,,,,,,,,,,,,,,,,,,,,
122255.SH,13赣粤01,233.75(20180930),211.4(20180331),211.44(20171231),358.31(20161231),350.4(20160930),376.18(20160331),376.18(20151231),317.19(20150630),312.19(20150331),218.6603(20140331),226.88(20131231),226.88(20121231),221.88(20120930),205.58(20120331),145.53(20110930),140.23(20110630),127.73(20110331),98.63(20100630),88.6(20100331),85(20081231),53.5(20080930),44.8(20051013),,,,,,,,,,,,,,,,,,,,,
122258.SH,13云煤业,13.7(20171231),12.7(20170331),23.2(20160331),31.2(20141231),35.2(20131231),26.7(20130930),26.3(20130331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122269.SH,12国航03,1715.67(20171231),1555.35(20161231),1550.66(20160331),1444.33(20151231),1398.73(20150930),1103.96(20141231),1452.68(20131231),1475(20130331),1391.52(20121231),1263(20120630),1340.24(20120331),1413(20111231),1250.71(20101231),1057(20080930),778(20051231),717(20050525),,,,,,,,,,,,,,,,,,,,,,,,,,,
122272.SH,12兖煤04,980.08(20180630),992.83(20180331),1133.77(20171231),960.32(20170930),872.73(20170331),872.73(20161231),842.04(20160930),875.79(20160630),1054.27(20160331),987.29(20150930),1109.64(20150331),1109.64(20141231),1204.36(20140930),818.26(20131231),1109.42(20130930),1091.02(20130630),1020(20111231),,,,,,,,,,,,,,,,,,,,,,,,,,
122284.SH,13鲁金02,302.4(20171231),283.5(20161231),281.8(20160331),295.22(20150930),301.22(20150630),207.3(20140930),171.5(20130331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122287.SH,13国投01,2827.89(20180331),2740.27(20171231),2664.48(20170930),2921.14(20161231),2889(20160630),2884(20160331),2900(20151231),2810(20141231),2343(20131231),1982.61(20130630),1982(20130331),1979(20121231),1929.48(20111231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122294.SH,12鲁创投,11(20171231),1.3(20161231),4.1(20151231),8(20141231),3.9(20140331),3.9(20131231),3.9(20130930),3.9(20130630),2.2(20121231),5.45(20110930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122295.SH,13川投01,78.25(20180331),69.25(20170930),47.9(20170331),41.89(20160930),41.89(20160630),41.02(20130630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122298.SH,13亚盛债,22.18(20180331),21.58(20161231),21.53(20160331),19.48(20141231),16.53(20131231),16.03(20130630),11.87(20130331),8.2(20110131),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122301.SH,13楚天01,47.08(20151231),65.65(20141231),127.2(20140331),125.2(20131231),125.2(20130630),125.2(20130331),123.7(20120930),129.2(20110930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122302.SH,13天房债,110.9(20151231),42.39(20150930),96.19(20150331),72.3(20141231),27.78(20140331),50.91(20130930),26.95(20130630),39.85(20090331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
