code,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122015.SH,09长电债,1942.08(20180930),1648.08(20180630),1814.35(20180331),1714.35(20170930),1664.35(20170630),1649.35(20170331),1573(20160331),1553(20151231),1398(20150930),1520(20150331),1520(20141231),1260(20140930),1260(20140331),1260(20131231),1260(20130930),1260(20130630),1240(20130331),1210(20120930),1225(20120331),973.6(20110930),973.6(20110331),928.6(20091231),928.6(20090930),853.4(20090331),530(20071231),400(20051227),,,,,,,,,,,,,,,,,
136049.SH,15中海02,725.8(20180930),715(20180630),623(20180331),558(20170930),518(20161231),518(20160331),518(20151231),518(20150930),523.58(20150731),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136050.SH,15景德01,200.9106(20180930),211.7822(20180630),195.6088(20180331),260.1975(20170930),235.5767(20170630),229.896514(20170331),167.85(20160930),154.52863(20160331),118.91446(20150930),114.35346(20150630),110.3(20150331),119.3907(20140930),110.72(20140630),106.83(20131231),102.9032(20130930),43.82(20121231),29.12(20110930),,,,,,,,,,,,,,,,,,,,,,,,,,
136051.SH,15五矿03,2533(20180331),3517(20170331),4310.44(20160331),4307.19(20151231),3112.49(20150630),2634.94(20150331),4223.21(20141231),2488.09(20140930),2032.64(20140630),2032.64(20140331),2948.971(20131231),2949(20130930),2351.88(20121231),924.76(20120930),1261.3(20120331),,,,,,,,,,,,,,,,,,,,,,,,,,,,
136052.SH,15五矿04,2533(20180331),3517(20170331),4310.44(20160331),4307.19(20151231),3112.49(20150630),2634.94(20150331),4223.21(20141231),2488.09(20140930),2032.64(20140630),2032.64(20140331),2948.971(20131231),2949(20130930),2351.88(20121231),924.76(20120930),1261.3(20120331),,,,,,,,,,,,,,,,,,,,,,,,,,,,
136053.SH,15南航01,2611.1(20180930),2611.1(20180630),1819.22(20171231),1392.74(20161231),1737.39(20151231),1841.5(20150930),1841.5(20150630),1330(20130930),1649.5(20120930),839(20080430),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136057.SH,15华发01,1062.01(20180930),1062.01(20180630),1052.01(20180331),1055.79(20170930),1033.79(20170630),1007.37(20170331),871.87(20160930),869.41(20160630),711.9(20160331),24(20150930),16(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136058.SH,15宜集债,134.401625(20180630),127.67(20180331),131.22(20171231),119.526132(20170930),118.855178(20170331),118.86(20161231),81.264001(20160930),62.22(20160630),58.95(20160331),47.65(20151231),45.8643(20151215),45.85(20150930),56.77(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136062.SH,15大连港,1029.04(20180331),1029.04(20171231),1020.46(20170331),1030.065(20160930),957.3(20160331),923.067(20150930),800.7856(20150630),754.6866(20150331),580.36(20140930),677.65(20140331),575.78(20130331),480(20120331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136063.SH,15中骏02,156.69(20171231),72.9(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136065.SH,15晋电01,584.41(20180331),518.41(20171231),571.61(20170331),521.61(20160930),455.91(20160630),445.91(20160331),423.1588(20150630),374.71(20150331),289.66(20140331),221.2(20130331),43(20120930),43(20120331),43(20111231),38(20110930),38(20110630),45(20100930),50(20100331),52.4(20090930),,,,,,,,,,,,,,,,,,,,,,,,,
136066.SH,15西王01,140.820399(20180930),130.045136(20180630),127.427569(20180331),142.036696(20170930),151.438364(20170818),147.288506(20170630),145.140842(20170331),116.524836(20160930),126.255775(20160630),148.545678(20160331),126.780023(20151231),139.243573(20150930),148.5774(20150630),143.378(20150331),155.4506(20140930),172.6522(20140630),182.2911(20130930),170.6355(20130630),176.4524(20121231),169.0833(20120930),123.4792(20110930),114.9023(20101231),109.3524(20100930),53.3946(20100331),,,,,,,,,,,,,,,,,,,
136067.SH,15洪市政,466.14(20180930),417.4(20180630),394.06(20180331),294.06(20171231),338.16(20170930),285.18(20170630),271.98(20170331),228.99(20160331),182.05(20150930),181.74(20150630),163.41(20150331),142.3(20140930),132.22(20130930),116.34(20130331),80(20130222),116.34(20121231),116.34(20120930),78.34(20110930),,,,,,,,,,,,,,,,,,,,,,,,,
136068.SH,15哈投02,427.5393(20180930),352.452721(20180331),136.74(20170930),136.732(20170630),152.85(20170331),218.19(20160630),216.0594(20160331),196.968(20150930),166.968(20141231),255.5818(20130930),209.0594(20120930),243.0576(20111231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136069.SH,15双欣债,106.606(20180930),107.331(20180630),105.27(20180331),105.77(20170630),108.4645(20170331),107.16(20161231),109.76(20160930),116.708(20160331),108.5486(20150930),112.81(20150331),111.93(20141231),101.39(20140930),100.8225(20140630),77.19(20130331),77.194(20121231),,,,,,,,,,,,,,,,,,,,,,,,,,,,
136070.SH,15必康债,9.69(20180331),9.55(20170331),9.55(20161231),7.95(20151231),6.5(20150930),6.5(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136071.SH,15开元01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136073.SH,15云能02,1186.71(20180930),1098.85(20180630),1008.21(20180331),1073.55(20170930),1122.46(20170630),1086.62(20170331),1363.95(20161231),1447.75(20160930),1475.79(20160630),1036.11(20160331),957.61(20151231),696.068437(20150930),644(20150630),610.7(20150331),587(20141231),705.168437(20140930),295.2(20140531),254.95(20140331),235.8(20130930),210.628(20130331),,,,,,,,,,,,,,,,,,,,,,,
136074.SH,15合作债,42.288(20180930),39.618(20180630),39.518(20180331),34.898(20170930),33.488(20170630),33.32(20170331),26.84(20161231),29.9(20160930),29.7935(20160630),20.797576(20150930),29.79(20150630),25.0055(20150331),25.00547(20141231),23.21(20140930),22.28(20140331),19.91(20130930),15.385(20130630),9.025(20120930),12.82(20101231),,,,,,,,,,,,,,,,,,,,,,,,
136075.SH,15桂铁投,695.16(20180930),734.73(20180630),686.49(20180331),627.42(20171231),635.74(20170930),635.74(20170331),622.63(20160930),593.6(20160630),584.77(20160331),584.54241(20150930),563.14(20150630),492.89(20150331),492.89(20141231),453.045(20140930),452.945(20140331),449.25(20131231),446.12(20130930),411.615(20130630),323.42(20121231),369.315(20120630),347.765(20110930),324.4(20101231),,,,,,,,,,,,,,,,,,,,,
136076.SH,15瑞贝卡,23.9(20150630),8.6(20090630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136078.SH,15禹洲01,356.39(20180630),167.66(20150930),149.86(20150731),147.86(20141231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136079.SH,15中航债,3566(20180930),3566(20180331),3009(20171231),831.18(20170331),800(20161231),805(20160930),805(20160630),800(20160628),800(20160331),556(20150930),772.3(20150630),420.2(20150331),421.2(20140930),378.2(20140630),512(20140331),512(20131231),399(20130930),388(20130331),291.5(20120930),647.29(20110630),262(20101231),224.2(20100331),,,,,,,,,,,,,,,,,,,,,
136080.SH,15北汽01,2(20130331),2(20120630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136081.SH,15广汇01,297.721274(20190314),297.72(20180930),316.63212(20180630),311.602949(20180331),357.26(20171231),275.519376(20170930),390.48(20170630),402.99(20170331),408.79(20161231),241.462786(20160630),237.495686(20160331),228.45(20151231),242.86(20150930),244.477316(20150630),250.1862(20150331),231.44(20140930),190.3072(20140630),205.52(20140331),173.52(20131231),172.7197(20130930),152.8325(20130630),144.74(20130331),140.29(20121231),95.7146(20120930),88.54(20120630),80.54(20111231),66.56(20110630),12.53(20090331),,,,,,,,,,,,,,,
136082.SH,15浙交01,4488.27(20180930),4345.27(20180630),4591.62(20180331),4118.32(20171231),3994.77(20170930),3500(20170331),3500(20161231),1329.72(20160331),1350.05(20151231),1313.67766(20150930),1366.13(20150630),1343.3(20150331),1345.69(20141231),1427.772(20140331),1212.92(20130930),1208.6(20130331),1235(20120630),1233.05(20110930),326.95(20110630),1288(20100331),304(20090630),255(20090430),245(20080930),264(20080630),292(20071231),114(20070104),64(20050927),,,,,,,,,,,,,,,,
136083.SH,15浙交02,4488.27(20180930),4345.27(20180630),4591.62(20180331),4118.32(20171231),3994.77(20170930),3500(20170331),3500(20161231),1329.72(20160331),1350.05(20151231),1313.67766(20150930),1366.13(20150630),1343.3(20150331),1345.69(20141231),1427.772(20140331),1212.92(20130930),1208.6(20130331),1235(20120630),1233.05(20110930),326.95(20110630),1288(20100331),304(20090630),255(20090430),245(20080930),264(20080630),292(20071231),114(20070104),64(20050927),,,,,,,,,,,,,,,,
136084.SH,15金源01,389.86(20171231),502.52(20161231),134.13(20151231),131.26(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136085.SH,15金茂投,698.26(20180930),438.23(20171231),382.42(20161231),157.05(20151231),158(20150630),158(20141231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136086.SH,15金源02,389.86(20171231),502.52(20161231),134.13(20151231),131.26(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136087.SH,15保利01,3865.753(20180930),3810.35(20180630),3658.3178(20180331),3563(20171231),3562.879(20170930),3297.078313(20170630),3177.14(20170331),2942(20160630),2814(20151231),2653(20150930),2191(20150630),2204(20141231),2199(20140930),2195(20140630),303.11(20080331),,,,,,,,,,,,,,,,,,,,,,,,,,,,
136088.SH,15保利02,3865.753(20180930),3810.35(20180630),3658.3178(20180331),3563(20171231),3562.879(20170930),3297.078313(20170630),3177.14(20170331),2942(20160630),2814(20151231),2653(20150930),2191(20150630),2204(20141231),2199(20140930),2195(20140630),303.11(20080331),,,,,,,,,,,,,,,,,,,,,,,,,,,,
136089.SH,15绿地01,2782(20171231),2710(20161231),2642(20151231),2629.8(20150930),2270(20150630),2259.8(20141231),1806.3(20140930),1305(20131231),1080.07(20121231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136090.SH,15绿地02,2782(20171231),2710(20161231),2642(20151231),2629.8(20150930),2270(20150630),2259.8(20141231),1806.3(20140930),1305(20131231),1080.07(20121231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136092.SH,15连云港,23.6317(20180331),24.13(20171231),24.2481(20170930),37.5156(20170331),23.65(20161231),22.2688(20160930),21.77(20160630),21.45(20160331),31.43(20151231),43.5(20150930),43.5(20150630),44.44(20141231),44.44(20140930),19.3(20111231),9(20100120),,,,,,,,,,,,,,,,,,,,,,,,,,,,
136093.SH,15华信债,616.451018(20170930),529.147616(20170630),521.5575666(20170331),523.4(20161231),458.828869(20160930),442.623643(20160630),443.669963(20160331),580.86(20151231),575.725424(20150930),575.8793(20150331),398.2(20141231),217.2254(20140331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136094.SH,15晋电02,584.41(20180331),518.41(20171231),571.61(20170331),521.61(20160930),455.91(20160630),445.91(20160331),423.1588(20150630),374.71(20150331),289.66(20140331),221.2(20130331),43(20120930),43(20120331),43(20111231),38(20110930),38(20110630),45(20100930),50(20100331),52.4(20090930),,,,,,,,,,,,,,,,,,,,,,,,,
136095.SH,15锡交01,70.959211(20180630),74.078(20180331),61.75(20171231),113.45(20170630),94.4685(20170331),67.2886(20161231),55.35(20160331),80.381(20150630),97.27(20150331),77.455(20140331),103.36(20131231),97.615(20100930),91.325(20081231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136096.SH,16复星01,2458.5678(20180930),2174.2996(20180630),2028.7238(20180331),2079.5167(20170930),2099.0178(20170630),2006.3989(20170331),1803.212(20161231),1645.4838(20160930),1954.7619(20160630),1799.3187(20151231),1301.9181(20150930),1078.42(20150630),1034.46(20141231),1093.3357(20140930),1008.0259(20140331),1008.03(20131231),871.97(20121231),642(20111231),610.5(20101231),547.6(20091231),,,,,,,,,,,,,,,,,,,,,,,
136097.SH,15鲁高01,4329.18(20180930),4329.18(20180630),4206.77(20180331),3062(20170930),3172(20170630),3152(20170331),2183.63(20160930),1815(20160630),1814.61(20160331),1900(20151231),1103(20151013),1900(20150930),1103(20150706),1300(20150630),1103(20150612),1103(20150511),1103(20150401),1300(20150331),1103(20150320),1103(20141231),1113.82(20141209),1300(20140930),1156.5(20140630),1300(20140331),1191.87(20130930),1052.5(20130331),588(20120331),999.37(20110630),840.5(20110331),603.59(20090131),210.7(20071119),,,,,,,,,,,,
136098.SH,15义市01,138.439(20180930),106.69(20171231),32.25(20170331),130.32(20160331),34.12(20151231),140.89(20150630),125.47(20130331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136099.SH,15绍交01,730.89(20180630),730.89(20180331),553.4(20171231),478(20170630),460(20170331),445(20161231),363.5(20160630),323.44(20160331),253.325(20150630),264.78(20150331),224.45(20140331),301.74(20130331),358.34(20111231),249.21(20110930),249.2055(20110331),,,,,,,,,,,,,,,,,,,,,,,,,,,,
136101.SH,15合景01,388.07(20180331),182.48(20171231),189.35(20170630),179.72(20161231),175.28(20151231),115.66(20141231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136102.SH,15合景02,388.07(20180331),182.48(20171231),189.35(20170630),179.72(20161231),175.28(20151231),115.66(20141231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136103.SH,15滇路01,5143.25(20180930),5229.8(20180630),5229.8(20180331),4309.41(20170930),5446.68(20170331),4297.69(20161231),3004.95(20160630),2747.99(20151231),1263.589(20150930),1195.59(20150630),1173.49(20150331),1095.489(20140930),1101.164(20140630),1129.56(20140331),1214.6209(20130930),1204.1479(20130630),1165.1259(20111231),,,,,,,,,,,,,,,,,,,,,,,,,,
136104.SH,15市北债,65.5(20180630),45.5(20180331),47.5(20171231),33.2(20170630),20.02(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136105.SH,15三友01,198.8792(20180630),199.69(20180331),199.895(20171231),193.5445(20170930),188.7835(20170630),192.86(20170331),183.2995(20151231),163.0697(20150630),170.86(20150331),134.31(20140331),142(20130331),121.0782(20120930),15.07(20090630),12.6(20060331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136106.SH,15三友02,198.8792(20180630),199.69(20180331),199.895(20171231),193.5445(20170930),188.7835(20170630),192.86(20170331),183.2995(20151231),163.0697(20150630),170.86(20150331),134.31(20140331),142(20130331),121.0782(20120930),15.07(20090630),12.6(20060331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136107.SH,15穗工债,83.54(20180331),74.201(20170930),84.7(20170331),57.19(20160630),54.992(20160331),45.422(20150930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136108.SH,14粤运02,54.69(20171231),40.61(20161231),57.65(20151231),55.83(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136109.SH,15康达债,115.83492(20180331),69.11963(20170930),69.9492(20170630),70.2692(20170331),48.1042(20160930),49.63(20160331),49.63(20151231),48.5(20141231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136110.SH,14昊华02,58.4(20180331),58.4(20171231),58.65(20160331),51.65(20150930),64.27(20150630),64.27(20150331),64.27(20141231),63.17(20140930),52(20140630),47(20140331),52(20130930),38.6(20130630),25.5(20120930),41.5(20120331),18(20100930),31.5(20090930),,,,,,,,,,,,,,,,,,,,,,,,,,,
136111.SH,15中环01,125.18(20171231),81(20170630),81(20161231),66.4(20151231),78.22(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136114.SH,15花园02,369.3(20171231),191.16(20160930),115.73(20160630),97.89(20150630),103.9626(20150331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136116.SH,15天富债,100.7(20180930),104(20180630),100.05(20180331),95(20170930),90(20170630),85(20170331),70.8(20161231),71.3(20160930),66.3(20160331),72.6(20150630),71.6(20150331),109.75(20140930),76.0075(20140331),76.01(20131231),57.02(20130331),38.5(20111231),,,,,,,,,,,,,,,,,,,,,,,,,,,
136117.SH,15苏伟驰,137.18(20180331),155.107509(20170930),157.13(20170630),156.5(20170331),155.18(20161231),115.82(20151231),79.07(20150630),79.35(20150331),43.3(20141231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136118.SH,15融信01,1105.25(20180630),719.57(20161231),177.3(20160331),115.3(20151231),109.831(20150930),58.931(20150731),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136119.SH,15国创01,33.199(20150731),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136120.SH,15鲁能债,2049.96(20171231),585.53(20170630),748.1(20161231),516.07(20160630),447.54(20160331),432.74(20151231),248.2(20150630),148.37(20150331),263.42(20140630),263(20140613),254.94(20130930),171.42(20130131),155.4(20120930),439.08(20101231),1246.665(20090630),952.24(20090331),1000(20071231),,,,,,,,,,,,,,,,,,,,,,,,,,
136121.SH,15南山02,714.1148(20180930),661.2743(20180630),664.274(20180331),718.8587(20170930),847.0904(20170630),874.5698(20170331),812.9251(20160930),813.6563(20160630),782.3148(20160331),790.5148(20150930),797.6817(20150630),798.0311(20150331),428(20140630),423.92(20140331),406.229(20130930),333.1372(20130630),333.1372(20130331),258.23(20120930),258.2289(20120331),238.9666(20110930),234.27(20110630),81.5(20061231),83.2(20060531),,,,,,,,,,,,,,,,,,,,
136123.SH,15中合01,841(20161231),826(20151231),796(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136124.SH,16新奥债,104.04(20171231),97.86(20170331),42.04(20160331),40.038879(20151231),23.05(20150630),24.4(20150331),45.65(20140930),43.153(20140630),58.3622(20130630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136125.SH,15洛娃01,22.23(20180331),22.07(20171231),23.19(20170930),22.79(20170630),13.96(20170331),18.98(20161231),21.495(20160930),14.26(20160630),15.855(20160430),16.655(20160331),16.66(20160229),22.555(20150930),1.355(20150630),16.655(20150331),28.82(20140930),28.3152(20140630),36.12(20140331),25.1252(20130930),,,,,,,,,,,,,,,,,,,,,,,,,
136126.SH,15鑫苑01,333.21(20180630),305.84(20171231),182.5625(20161231),126.2725(20160630),105.89(20151231),105.7725(20150930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136127.SH,15中江01,124.13(20151231),119.53(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136130.SH,16葛洲01,2875.73(20180930),2582.62(20171231),2184.45(20161231),2150.16(20160630),1871.66(20160331),1798.56(20151231),1966(20150930),1934.18(20150630),1934.18(20150331),1921.33(20140930),1924.348(20140331),458(20131231),346(20130630),1966.88(20130331),391(20120930),346(20120331),335(20111231),1601(20110331),1233.35(20100331),1046(20090930),425.5(20080930),25.4(20051219),,,,,,,,,,,,,,,,,,,,,
136131.SH,15陕投债,1(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136132.SH,15邢钢债,37.09(20171231),46.98(20160630),43.75(20150630),47.64(20120930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136134.SH,16番雅债,33.7(20171231),19(20161231),39.5(20150930),24.5(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136135.SH,16联泰01,547.11(20171231),513.6825(20170930),459.49(20161231),393.44(20151231),348.15(20150930),320(20150630),168.3(20101231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136137.SH,16茂业02,140.8(20171231),99.86(20170331),77.39(20160331),48.7(20150930),38.4(20150630),57.7(20150331),42.3821(20140630),45.44(20140331),43.9768(20130930),46.02(20130331),52.28(20120930),45.64(20120630),43.41(20120331),51.96(20110930),40.908(20110630),,,,,,,,,,,,,,,,,,,,,,,,,,,,
136138.SH,16常高新,178.637303(20180930),185.329396(20180630),209.797178(20180331),215.771781(20170930),243.26373(20170630),235.538692(20170331),155.798029(20160930),158.114229(20160630),134.5238(20160331),125.72(20150930),114.128974(20150630),126.4015(20150331),127.431(20140930),130.27(20140630),135.109(20140331),117.3788(20130930),172.7(20121231),128(20120331),78.1(20101231),130(20090603),136.91(20090331),55(20070924),,,,,,,,,,,,,,,,,,,,,
136139.SH,16国美01,253.3465(20180930),264.19(20180630),198.21(20160630),168.177043(20151231),155.604242(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136140.SH,16富力01,1979.11(20180930),1969.11(20180630),1943.11(20180331),1634.61(20171231),1502(20170930),1166(20170331),1166(20161231),1142.01(20160930),1062.01(20160630),966.99(20151231),605.98(20150930),605.98(20150630),546(20141231),306.1(20090630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136141.SH,16邦信01,135.75(20171231),157.604682(20170930),77.95(20161231),65.55(20160630),41.241(20151231),20.93(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136142.SH,16中铁01,415.4507(20180930),245.5(20180331),293.35(20171231),346.65(20170930),336.65(20170331),294.6(20161231),317.2(20151231),317.2(20150930),284.4(20150331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136143.SH,16万达01,3629(20171231),3629(20161231),4163(20151231),1643(20150930),1441.91(20150331),1441.91(20141231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136144.SH,16远东一,1407.887(20180930),1448.08(20180630),1364.23(20180331),854.9(20171231),950.97(20170930),944.74(20170630),909.27(20170331),897.84(20161231),932.68(20160930),855.43(20160331),816.53(20151231),853.84138(20150930),836.13(20150831),836.13(20150630),698.8135(20150331),683.86(20141231),713.9(20140930),689.46(20140331),613(20130930),,,,,,,,,,,,,,,,,,,,,,,,
136145.SH,16金辉01,561.495(20180630),513.3(20180331),472.995(20171231),488.86(20161231),403.66(20160630),289.76(20151231),289.76(20150930),289.76(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136147.SH,16中粮01,161.331299(20180930),161.33(20171231),171.49(20161231),169.49(20151231),165.3505(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136148.SH,16宏桥01,361.3298(20180331),395.097675(20170930),200.12837(20160930),198.72288(20160630),234.1933(20160331),562(20150930),372.4254(20150331),375.26(20140930),316.5289(20140331),318.93(20130930),315.6043(20130630),262.8(20130331),241.11(20121231),191.1856(20120930),141.4(20120630),191.19(20111231),,,,,,,,,,,,,,,,,,,,,,,,,,,
136149.SH,16宏桥02,361.3298(20180331),395.097675(20170930),200.12837(20160930),198.72288(20160630),234.1933(20160331),562(20150930),372.4254(20150331),375.26(20140930),316.5289(20140331),318.93(20130930),315.6043(20130630),262.8(20130331),241.11(20121231),191.1856(20120930),141.4(20120630),191.19(20111231),,,,,,,,,,,,,,,,,,,,,,,,,,,
136151.SH,16保利01,3865.753(20180930),3810.35(20180630),3658.3178(20180331),3563(20171231),3562.879(20170930),3297.078313(20170630),3177.14(20170331),2942(20160630),2814(20151231),2653(20150930),2191(20150630),2204(20141231),2199(20140930),2195(20140630),303.11(20080331),,,,,,,,,,,,,,,,,,,,,,,,,,,,
136152.SH,16保利02,3865.753(20180930),3810.35(20180630),3658.3178(20180331),3563(20171231),3562.879(20170930),3297.078313(20170630),3177.14(20170331),2942(20160630),2814(20151231),2653(20150930),2191(20150630),2204(20141231),2199(20140930),2195(20140630),303.11(20080331),,,,,,,,,,,,,,,,,,,,,,,,,,,,
136153.SH,16珠投01,604.28(20180630),598.28(20171231),638.29(20161231),659.76(20151231),252.62(20150930),158.61(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136154.SH,16西王01,140.820399(20180930),130.045136(20180630),127.427569(20180331),142.036696(20170930),151.438364(20170818),147.288506(20170630),145.140842(20170331),116.524836(20160930),126.255775(20160630),148.545678(20160331),126.780023(20151231),139.243573(20150930),148.5774(20150630),143.378(20150331),155.4506(20140930),172.6522(20140630),182.2911(20130930),170.6355(20130630),176.4524(20121231),169.0833(20120930),123.4792(20110930),114.9023(20101231),109.3524(20100930),53.3946(20100331),,,,,,,,,,,,,,,,,,,
136155.SH,16电建01,779.5293(20180930),822.505(20180331),822.51(20171231),952.365(20170930),952.37(20170630),863.15(20170331),842.72(20161231),738.62(20160930),593.92(20160630),4843.89(20151231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136156.SH,16同益债,29.77979(20160630),29.514722(20151231),33.8846(20150930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136157.SH,16重水01,188.3(20171231),220.643246(20170930),120.68(20160331),234.18(20151231),189.5(20150930),112.73(20140331),271.58(20130331),271.58(20120930),255.45(20120630),219.68(20101231),153.792(20091231),163(20071231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136158.SH,16融信01,1105.25(20180630),719.57(20161231),177.3(20160331),115.3(20151231),109.831(20150930),58.931(20150731),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136159.SH,16沪国资,297.52(20180930),259.5(20180630),247.5(20180331),225.5(20170930),150(20170331),114(20160930),132(20160630),130.7(20151231),124(20150930),122(20150630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136160.SH,16东旭01,720.08(20180630),702.95(20171231),617.268(20170930),621.38(20170331),480.58(20161231),479(20160930),346.85(20160630),360.2199(20160331),344.871(20151231),271.64(20150630),262.3(20150331),247.7(20141231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136161.SH,16渝交投,1869.832044(20180930),1869.83(20180630),1383.12(20180331),1383.12(20171231),1430.84(20170331),582.6(20160525),582.6(20160518),530.83(20160331),530.83(20151231),582.6(20150930),549.6(20150630),549.6(20150331),567(20141231),539.1(20140808),539.1(20140805),550(20140630),544.08(20131231),544.08(20130930),539.1(20130630),539.1(20130331),464.59(20120331),487.81(20100930),487.81(20100630),,,,,,,,,,,,,,,,,,,,
136162.SH,16中静01,4.9(20161231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136163.SH,16青国信,348.33(20180930),497.6(20180331),281.15(20171231),314(20170930),224(20170630),241.03(20170331),195(20161231),215.4046(20160331),215.4(20151231),186.24(20150630),170.56(20150331),233.4194(20140331),207.4(20130930),118.39(20121231),216.7975(20120630),212.8(20111231),,,,,,,,,,,,,,,,,,,,,,,,,,,
136164.SH,16中油01,1400(20180930),1620(20171231),1720(20161231),1400(20160331),1720(20151231),1400(20150930),1675(20150630),1400(20150331),1400(20141231),1400(20131231),1990(20111231),1830(20100331),1580(20090930),1580(20090630),1280(20081231),1280(20080630),,,,,,,,,,,,,,,,,,,,,,,,,,,
136165.SH,16中油02,1400(20180930),1620(20171231),1720(20161231),1400(20160331),1720(20151231),1400(20150930),1675(20150630),1400(20150331),1400(20141231),1400(20131231),1990(20111231),1830(20100331),1580(20090930),1580(20090630),1280(20081231),1280(20080630),,,,,,,,,,,,,,,,,,,,,,,,,,,
136166.SH,16广新01,258.379752(20180930),265.664399(20180630),268.25109967(20180331),295.906086(20171231),286.624607(20170930),238.740625(20170630),217.66(20170331),268.255839(20161231),277.0994(20160930),293.836(20160630),358.351671(20160331),346.83(20151231),322.6(20150930),217.9167(20150630),218.5217(20150331),232.75(20141231),277.5075(20140930),218.0168(20140331),267.8309(20130630),202.92(20130331),198.41(20120930),219.02(20110930),201.5232(20110331),209.6359(20100930),147.9471(20090930),91.19(20061231),68.41(20051231),,,,,,,,,,,,,,,,
