id,department,place,jobName,responsibilities,requirements,mark
,产品技术,杭州、南京、青岛,技术专家/高级技术专家,"1、公司产品（电商、供应链、大数据）的售前介绍和技术交流
2、评估需求与公司产品的契合度
3、评估需求复杂度和工作量，全面考虑可能的风险和隐藏需求
4、提供解决方案咨询
5、带领团队完成实施目标
6、规划公司产品方向，带领团队进行产品的优化改进
7、关注并培养团队成员成长
","1、熟悉零售业务，在零售管理、供应链管理、智慧门店相关领域至少有一项专精领域及成功敬仰，能够带领团队构建零售域核心产品
2、自我驱动能力强，能够有效激励团队，有丰富的项目及团队管理经验
3、有较强的业务分析及建模能力，能快速归纳与理解客户需求
4、四年以上 Java 技术研发背景，了解Java生态中的流行技术，熟悉分布式、服务化等互联网常用概念
5、熟悉性能调优、快速迭代、一致性保证等问题的解决方法论
6、了解常用的云上组件并了解如何在云上构建业务系统
7、擅长并且乐于沟通",P7-P8
,产品技术,杭州、南京,业务架构师,"1、负责产品业务架构梳理，与PD、业务方一起讨论业务场景并进行系统设计落地
2、指导产品边界划分，参与完善业务领域模型，设计高度灵活的软件架构
3、以业务架构师视角参与产品设计方案评审","1、熟悉Oracle EBS、SAP ERP、微软 Dynamic 架构设计者优先
2、本科以上学历
3、有较强的逻辑思维能力
4、具备良好的业务建模能力，能够结合业务场景抽象业务模型
5、具备4年及以上大型商业软件、互联网公司研发/架构经验
6、具有较强英文能力",P7及以上
,产品技术,杭州、南京、青岛,高级前端开发工程师,"1、完善公司产品（电商、供应链、大数据），功能设计与实现，文档编写
2、基于公司产品为客户进行实施，部分定制功能的设计与实现
3、 参与公司产品的发展与规划","1、三年以上工作经验（含）
2、熟悉 html5、css3、es6/7、TypeScript，熟悉前端生态圈，体系化的前端知识
3、 熟悉前端组件化和模块化机制
4、熟悉 MVC、MVVM 概念，有 React 或 Vue 实际开发经验
5、有任意后端技术栈研发经验
6、执着像素级还原，对创造优越的交互有成就感
7、强烈的责任心，对代码质量的高要求
8、使用过 react-native 更佳
9、参与开源项目更佳",P6
,产品技术,杭州、南京、青岛,前端技术专家/高级前端技术专家,"1、负责前端团队的横向管理，带领前端团队成长
2、大前端基础设施、研发体系的选型、制定和研发，持续优化研发体验和研发效率
3、与中台团队一起尝试解决大型软件组件化、差异化交付和管理的问题     
4、技术趋势调研和落地","1、大型复杂业务系统前端整体架构实现落地经验
2、中型团队管理经验   
3、精通 React 生态，深入理解生态相关工具、库和方案的原理与优缺点
4、熟悉前端其它生态圈、主流前端和移动端解决方案，体系化的前后端知识
5、熟悉 nodejs ，同时熟悉任意一种非 nodejs 后端技术栈
6、强烈的责任心，乐于分享和帮助他人
7、对新技术敏感，有前瞻性，关注社区动态和技术趋势
",P7-P8
,共享能力中心,杭州、南京,高级开发工程师,"1、 负责公司业务中心软件模块的设计及研发 
2、 参与公司产品及不同项目的需求分析讨论，对核心模块逬行抽象建模实现 
3、 参与公司产品模块的规划讨论 
","1、两年以上Java后端幵发工作经验（含） 
2、熟悉设计模式，并能灵活运用于日常研发工作当中 
3、熟悉 SpringFramework、SpringMVC、SpringBoot等常用框架 
4、了解常用分布式技术与服务化概怎，熟悉 Dubbo、Redis、Elasticsearch、Nginx等组件的使用，并了解其核心设计原理
5、思路清晰，有沉淀功能和重构代码的意识 
6、强烈的责任心，对代码质置的高要求 
7、有平台型业务软件过往研发经验更佳 
",P6
,共享能力中心,杭州、南京,技术专家/高级技术专家,"1、 公司平台型产品及业务中心的规划及落地 
2、 对来自项目及产品线团队的需求逬行前瞻性的设计、抽象、建模及买现 
3、 了解产品现状并分析竞品优势，带领团队逬行产品的迭代优化改逬 
4、 指导并培界团队成员成长，带领团队高质量完成任务","1、有平台型产品研发背景经验，熟悉零售、供应链管理、ERP相关领域的产品，有对应的核心模块研发经历 
2、 自驱动能力强，能够有效激励团队，有丰富旳项目及团队管理经验 
3、 有较强的业务分析及建模能力，能快速归纳与理解客需求 
4、 四年以上Java技术研发背景，了解Java生恣中的主流技术，熟悉分布式、服务化等互联网主流技术
5、 熟悉性能调优、数据一致性保证、疑难杂症分析等问题解决的方法论 
6、 了解常用的云上组件并了解如何利用在云资源上构建业务系统 
7、 擅长并且乐于沟通",P7-P8
,共享能力中心,杭州、南京、青岛,高级前端开发工程师,"1、完善公司产品（电商、供应链、大数据），功能设计与实现，文档编写
2、基于公司产品为客户进行实施，部分定制功能的设计与实现
3、 参与公司产品的发展与规划","1、三年以上工作经验（含）
2、熟悉 html5、css3、es6/7、TypeScript，熟悉前端生态圈，体系化的前端知识
3、 熟悉前端组件化和模块化机制
4、熟悉 MVC、MVVM 概念，有 React 或 Vue 实际开发经验
5、有任意后端技术栈研发经验
6、执着像素级还原，对创造优越的交互有成就感
7、强烈的责任心，对代码质量的高要求
8、使用过 react-native 更佳
9、参与开源项目更佳",P6
,共享能力中心,杭州、南京、青岛,前端技术专家/高级前端技术专家,"1、负责前端团队的横向管理，带领前端团队成长
2、大前端基础设施、研发体系的选型、制定和研发，持续优化研发体验和研发效率
3、与中台团队一起尝试解决大型软件组件化、差异化交付和管理的问题     
4、技术趋势调研和落地","1、大型复杂业务系统前端整体架构实现落地经验
2、中型团队管理经验   
3、精通 React 生态，深入理解生态相关工具、库和方案的原理与优缺点
4、熟悉前端其它生态圈、主流前端和移动端解决方案，体系化的前后端知识
5、熟悉 nodejs ，同时熟悉任意一种非 nodejs 后端技术栈
6、强烈的责任心，乐于分享和帮助他人
7、对新技术敏感，有前瞻性，关注社区动态和技术趋势
",P7-P8
,售前咨询,杭州、北京、广州/深圳,咨询,"1、负责全渠道零售、采购供应链、全渠道会员及营销服务解决方案及互联网架构等产品解决方案售前支持
2、负责公司内部产品研发的MRD编写和业务功能定义输入、项目立项等
3、参与典型行业客户交付项目业务需求分析任务和咨询项目，主要任务包括业务需求分析、业务流程梳理，业务蓝图编写等任务
4、负责全渠道、供应链、会员及服务解决方案及互联网架构、PaaS平台的业务发展、市场竞品情报、需求动态的跟踪和搜集，并与产品研发团队协同规划产品研发路径
","1、本科及以上学历，MBA或EMBA优先考虑；有过大型互联网公司、ARVATO, SAP ARIBA, NetSuite相关从业经验咨询及产品规划，方案规划经验优先考虑
2、三年以上互联网公司及相关咨询行业咨询顾问工作经验；具有大型零售行业或者大型品牌制造企业零售、供应链、会员及服务解决方案及互联网架构、PaaS平台项目规划或咨询经验
3、表达能力强，具有良好的方案编制能力，能够充分理解和把控客户需求，并结合公司产品引导客户找到最佳解决方案
4、具有良好的沟通能力、协调能力及交际技巧，思维敏捷、能够对客户需求做出准确判断及快速反应
5、学习能力强，能够适应行业高速变化，快速学习和掌握相关新业务、新技术，从而满足市场需要                                                                                                                                   6、能够接受高频度短周期出差
",P7/P8
,项目交付中心,杭州、南京、青岛,业务顾问,"1、参与客户现场调研，能有效与客户沟通，进行需求分析及系统功能设计，并编写相关文档(如现状调研报告、需求分析报告、业务流程设计方案、系统解决方案、系统功能设计及操作手册等)
2、配合商务经理开展售前咨询工作，包括准备解决方案介绍资料，客户现场讲解与沟通，引导客户需求并提出建议方案；参与招标项目，配合商务招投标工作，负责编写技术标书、讲标等相关工作
3、 对客户业务流程进行梳理，分析客户需求与痛点，提供相应解决方案；指导客户进行业务流程优化，提高管理效益
4、 有效与研发人员沟通，积极配合完成客户化功能开发，并进行系统测试、培训及交付 
5、编写培训材料，并对客户进行培训
6、完成所负责业务模块的工作总结，并进行方案提炼、打包，形成标准化或特色解决方案
","1、本科以上学历，专业不限
2、3年以上工作经验，有大型电商平台、互联网应用、采购供应链及ERP实施项目经验优先
3、具备较强的学习能力，能不断学习新的业务知识和专业技能
4、具备较强的逻辑思维能力、演讲能力、WORD/EXCEL/PPT/VISIO写作能力、亲和力及客户沟通能力，善于解决客户问题以及维护客户关系者优先
5、能够适应高强度的工作任务",P6-P7
,项目交付中心,杭州、南京、青岛,项目经理,"1、协同团队日常执行工作，负责进度跟踪和控制，风险监控，问题的协调和解决，确保工作按计划完成; 把握项目进度／质量，规范相应流程规则和项目的完成标准
2、按照公司规范要求，负责产品实施的全过程项目管理，对端对端交付负责，有效预防和排除风险，高效推进团队合作完成业务目标；需要制定合理的整体项目计划、控制项目总体成本并需要撰写项目相关过程文档
3、 组织协调大型项目全程管理工作，实施过程中对重要大项目提供实施指导、项目进程推动、实施监理等工作
4、建立清晰、透明、高效的沟通机制，推进团队的内外部沟通协调，收集和准备项目管理状态报告
5、 负责项目阶段性汇报材料编制及汇报，客户日常沟通及满意度管理
","1、大学本科以上学历，计算机、财经等相关专业，有良好的英文水平优先；有PMP或相关项目管理类证书者优先
2、5年以上项目管理经验，有互联网公司、大型IT企业研发管理或改进实施经验者优先
3、优秀的学习能力和沟通表达能力，清晰的思路和分析判断能力，工作主动性强，创新，具有良好的团队合作精神，能够承受较强的压力 
4、优秀的领导能力和项目推动能力，能够带领团队完成大型项目，对团队成员进行相关培训和评价
5、 较强的跨部门沟通能力、组织协调和问题解决的能力，能够同时处理多个项目，有项目群管理的能力
6、为人正直、诚信，有较强的事业心，对工作认真负责，敏锐的观察洞察力，系统思考、团队精神、灵活而有韧性，能在压力和逆境下工作
7、熟悉零售、制造等行业的业务，具有好奇心，具有良好的快速学习能力，能够快速理解业务，有技术背景，能够了解并掌握公司相关技术体系知识",P7
,产品设计,杭州、南京、青岛,产品专家/高级产品专家,"1、负责零售/采供/平台业务线产品与解决方案规划、设计、管理工作
2、 负责行业调研与竞品分析，制定商业策略与产品策略
3、 负责客户调研与沟通，帮助客户整体解决方案的规划、落地，指导客户团队运营
4、 对业务线年度业绩指标负责，协调资源，推动项目落地执行
5、带领团队，负责团队成员工作计划制定、工作指导、激励考核、以及工作规范的监督实施，帮助团队成员结果落地与成长
6、持续关注市场及客户反馈，完成产品生命周期管理及优化
","1、5年以上业务产品或业务运营支撑平台相关产品管理规划工作经验，对toB产品生态有较强认识
2、熟悉零售/采供/平台业务线产品涉及的不同领域知识，具备较强的业务场景归纳输出能力
3、有较强的逻辑思维能力和想象力，善于抽象简化复杂问题；善于系统性思考并使用创新性思维解决问题，善于总结和归纳，学习能力强
4、有丰富的项目管理和版本管理经验，有较强的协调和组织能力，表达能力强
5、有很强的产品owner意识，良好的自我管理能力、环境适应能力和执行力，能较大压力下保持工作激情
6、 良好团队协作精神，乐观积极，简单开放；有较强的业务逻辑思维、沟通协调和组织能力 
7、对于新事物，特别互联网未来的新趋势、产品或商业有强烈的好奇心",P7-P8
,产品设计,杭州、南京、青岛,高级电商产品经理,"1、负责全渠道零售业务的产品规划、需求分析、产品方案设计及整个生命周期管理
2、根据公司标准产品、行业解决方案以及客户定制化需求，为客户提供高质量咨询及解决方案规划
3、负责项目需求调研及需求分析、设计，编写各级需求文档
4、制订项目实施计划并跟踪项目进度，及时解决或反馈项目实施过程中出现的问题，顺利完成项目
5、与各级业务部门关键客户进行沟通，协调推进项目售前及实施工作
6、负责业务部门反馈的产品Bug跟踪，协调相关人员予以解决
7、根据产品实施效果以及业务发展状况，不断改进产品
8、激发团队士气，创造良好的开发氛围","1、本科及以上学历
2、3年以上产品相关经验，至少1年电商产品／平台相关经验，产品负责人优先
3、熟悉互联网产品实现流程，具备良好的用户体验意识，对交互设计有一定了解
4、具备优秀的沟通表达能力、团队协作能力，能承受住较大压力
5、逻辑思维能力强，具备良好的计划、文字表达能力
6、熟练使用Axure、MindManager、Office等软件",P6
,产品设计,杭州、南京、青岛,高级采购及供应链产品经理,"1、负责采购平台产品的优化迭代，包含产品的规划、需求分析、设计及整个生命周期管理工作
2、深度挖掘多行业采购的特点和价值，能对采购业务进行合理的分析，准确把握需求，推进产品研发进程
3、负责采购项目实施全过程，能够准确把控实施客户的采购需求，推进项目落地
4、撰写维护产品及项目文档，如产品白皮书，产品设计文档，用户使用手册等","1、至少2年以上互联网产品经理工作经验
2、能够独立完成对产品的整体设计，规范输出产品流程、产品原型、PRD等，具备优秀的交互设计能力
3、有项目管理经验，能够与各方协作，快速决策，带领项目团队按时达成项目目标
4、有很强的产品owner意识，良好的自我管理能力、逻辑思维、抽象、沟通协调能力
5、有B2B采购行业、供应链行业经验者优先",P6
,产品设计,杭州、南京、青岛,高级平台产品经理,"根据公司战略方向，负责公司平台产品的产品经理工作，以支持公司管理、软件产品管理、项目管理与交付、开放平台等业务。包括：
1、用户需求调研和用户使用行为分析，制定产品的发展方向与规划
2、确定产品功能、流程，绘制产品原型图，编写产品需求文档
3、协调技术团队及项目管理，日常进度跟踪；确保产品功能特性和交互符合产品需求文档的要求，确保产品准时、高质量的上线
4、负责产品上线后的迭代工作，BUG 跟踪、收集用户意见、提供改进方案
5、提升产品用户满意度和优化用户体验的一切相关事宜","1、本科及以上学历
2、3年以上互联网产品相关经验。熟悉互联网产品实现过程，包括市场分析、需求分析、业务流程设计、产品功能设计、交互设计、用户研究和可用性测试等
3、良好的统筹规划能力，逻辑思维能力强
4、良好的文档编写能力，熟练使用office、Visio、Axure、MindManager等工具
5、良好的沟通能力、推动能力、自我驱动力、抗压能力，拥有强烈的责任心和团队合作精神
6、 有开放平台、PMP项目管理平台等平台型产品经验者优先",P6
,产品设计,杭州、南京、青岛,高级数据产品经理,"1、负责数据产品的规划与设计，输出PRD及产品Demo，并推动数据产品项目的开发和实施
2、主动思考业务模式及场景，为客户提供高质量的数据解决方案
3、依据公司长期规划和客户需求，将项目方案抽象转化为数据产品并跟进实现
4、根据产品实施效果以及业务发展状况，不断改进优化产品","1、本科及以上学历，有一定的数据产品／平台相关经验者优先
2、熟悉数据产品实现流程，具备良好的用户体验意识，对交互设计有一定了解
3、具备优秀的沟通表达能力、团队协作能力，能承受住较大压力
4、逻辑思维能力强，具备良好的计划、文字表达能力
5、熟悉Axure、MindManager、Office等软件",P6
,产品设计,杭州、南京、青岛,高级会员产品经理,"1、 负责会员管理平台的整体规划与业务流程设计、功能设计、产品优化等工作，协调内部团队和外部资源，推进项目的进度
2、 制定产品需求计划，进行可行性分析及设计，同类产品市场资料的收集，了解、分析用户需求，负责需求的跟踪和控制
3、 将用户需求转化为可实现的产品功能，制定产品业务规范，整理、完善产品文档、业务流程及相关内容，撰写详细的产品文档
4、 负责与研发、设计等部门沟通，管理产品发布前后的各部门协调工作
5、 引导完成产品的界面、功能、流程设计，推动及协调产品的开发进度，把控项目质量；跟踪产品上线后的运营，及时根据各种统计数据和用户反馈，调动所有资源不断完善产品","1、本科及以上学历，1年以上的互联网产品经验，具备会员价值体系以及用户成长体系相关经验
2、熟知互联网会员产品形态模式，对会员产品规划和运营有较深的认识和独特见解
3、具备敏锐的产品触觉和理解力、优秀的市场洞察力、良好的跨部门沟通能力、出色的快速学习能力、突出的抗压能力、卓越的执行力
4、熟练使用Visio、Xmind、Axure等产品工具，具有技术背景、优秀的英语能力者优先",P6
,产品设计,杭州,高级PaaS产品经理,"1、 负责PaaS平台产品的需求梳理、分析判断、产品设计，并撰写相关的需求文档
2、 依据公司实际，针对业务逻辑制定系统功能，对PaaS平台改进提出可行性建议，并完成产品长期规划把控产品方向
3、 根据对竞品系统的调研，完成系统的不断迭代，使其保持行业前列，并具备走出去的条件
4、 能在复杂的技术环境下定义和设计产品。具备创造力与分深入析能力，得到较好解决方案
","1、本科及以上学历，拥有5年以上互联网产品设计经验
2、对底层系统和中间件有所了解
3、具备计算机相关专业背景、具备一定的系统编程开发专业知识
4、熟练使用Axure、Visio、Mindmanager等软件，能通过建立用户模型、竞品分析、界面/产品原型等方法，对产品设计进行有效的交流；
5、熟悉 Docker 和 PaaS 周边的产品，如 CloudFoundry，OpenShift，Bluemix 等
6、有大型平台类项目的设计实施及运维经验；
7、善于分析、挖掘用户需求，能够合理分析数据，具有较强的逻辑分析能力
8、 具有良好的沟通协调能力和团队合作精神，具有一定的抗压能力",P6
,产品设计,杭州,高级中台产品经理,"1、根据公司战略方向，负责公司平台产品的产品经理工作，以支持公司管理、软件产品管理、项目管理与交付、开放平台等业务
2、用户需求调研和用户使用行为分析，制定产品的发展方向与规划
3、确定产品功能、流程，绘制产品原型图，编写产品需求文档 
4、 协调技术团队及项目管理，日常进度跟踪；确保产品功能特性和交互符合产品需求文档的要求，确保产品准时、高质量的上线
5、负责产品上线后的迭代工作，BUG 跟踪、收集用户意见、提供改进方案
6、提升产品用户满意度和优化用户体验的一切相关事宜","1、本科及以上学历，计算机相关专业
2、优先考虑有以下经验的候选人
a. 软件开放平台、云计算（IaaS、PaaS）平台等平台型产品经验
b. SaaS产品相关经验
c. 企业管理软件实施或产品设计相关经验
d. 项目管理平台相关经验
3、3年以上互联网产品相关经验。熟悉互联网产品实现过程，包括市场分析、需求分析、业务流程设计、产品功能设计、交互设计、用户研究和可用性测试等
4、良好的统筹规划能力，逻辑思维能力强
5、良好的文档编写能力，熟练使用office、Visio、Axure、MindManager等工具
6、良好的沟通能力、推动能力、自我驱动力、抗压能力，拥有强烈的责任心和团队合作精神
",P6
,产品设计,杭州,视觉设计专家/高级视觉设计专家,"负责端点设计体系构建，支持零售业务、供应链采购业务、技术平台等产品与解决方案
1、负责整体设计体系构建，规范各业务产品的视觉交互体验、产品结构及接入机制
2、带领设计团队，把握设计方向，结合业务做设计方面的规划，并推动落地
3、建立设计流程和规范，保证产出质量，确保用户体验
4、分享设计经验，对团队成员有效指导，推动提高团队的设计能力
5、能够亲身参与到部分核心项目中，产出设计最佳实践
6、探索前沿设计趋势","1、大专或本科以上学历，工业设计、计算机、心理学、平面设计、广告设计等相关专业
2、五年以上互联网产品领域工作经验，拥有丰富优秀的产品与项目设计作品
3、具备专业理论知识和视野，了解行业的发展趋势
4、良好的沟通协调能力，逻辑思维及分析能力强，有较强项目管理经验，善于跨团队协作
5、懂交互和用研加分；具备设计团队管理经验加分",P7-P8
